election,group,estimand,miss,n_pure,thr
jhr_se15,30-39,BN_v,0.0,172,0.98
jhr_se15,30-39,PH_v,0.0019449526701358633,172,0.98
jhr_se15,30-39,PN_v,0.001559372675056403,172,0.98
jhr_se15,40-49,turnout,0.01134125668829733,117,0.98
jhr_se15,40-49,BN,0.00806475439019147,117,0.98
jhr_se15,40-49,PH,0.012815515354600016,117,0.98
jhr_se15,40-49,PN,0.002941724292146994,117,0.98
jhr_se15,40-49,BN_v,0.007278419985988882,117,0.98
jhr_se15,40-49,PH_v,0.01762485082597015,117,0.98
jhr_se15,40-49,PN_v,0.000122750831543339,117,0.98
jhr_se15,50-59,turnout,0.01665266163738599,63,0.98
jhr_se15,50-59,BN,0.011069088592984583,63,0.98
jhr_se15,50-59,PH,0.02208776507960436,63,0.98
jhr_se15,50-59,PN,0.0004579723789735757,63,0.98
jhr_se15,50-59,BN_v,0.008888753214424894,63,0.98
jhr_se15,50-59,PH_v,0.025621958397601896,63,0.98
jhr_se15,50-59,PN_v,0.005334261299531101,63,0.98
jhr_se15,60-69,turnout,0.02561188843064932,60,0.98
jhr_se15,60-69,BN,0.020581557577168258,60,0.98
jhr_se15,60-69,PH,0.02106244867006496,60,0.98
jhr_se15,60-69,PN,0.009205301290042364,60,0.98
jhr_se15,60-69,BN_v,0.017788763023650733,60,0.98
jhr_se15,60-69,PH_v,0.051325813458298175,60,0.98
jhr_se15,60-69,PN_v,0.009728234266353539,60,0.98
jhr_se15,70+,turnout,0.006167942817297267,10,0.98
jhr_se15,70+,BN,0.0273265267688729,10,0.98
jhr_se15,70+,PH,0.05436544775904542,10,0.98
jhr_se15,70+,PN,0.0034827241170306764,10,0.98
jhr_se15,70+,BN_v,0.07230093045725086,10,0.98
jhr_se15,70+,PH_v,0.11774669135306237,10,0.98
jhr_se15,70+,PN_v,0.009461144910493595,10,0.98
ge15,Malay,turnout,0.0229173052249243,388,0.98
ge15,Malay,BN,0.08189790284980514,388,0.98
ge15,Malay,PH,0.026341541443127857,388,0.98
ge15,Malay,PN,0.03054686286993119,388,0.98
ge15,Malay,BN_v,0.08332657034012819,388,0.98
ge15,Malay,PH_v,0.03569294545190417,388,0.98
ge15,Malay,PN_v,0.05111995837403793,388,0.98
ge15,Chinese,turnout,0.03473843721706904,17,0.98
ge15,Chinese,BN,0.0,17,0.98
ge15,Chinese,PH,0.032297635182421125,17,0.98
ge15,Chinese,PN,0.0035813414454162664,17,0.98
ge15,Chinese,BN_v,0.0,17,0.98
ge15,Chinese,PH_v,0.0,17,0.98
ge15,Chinese,PN_v,0.006055323769699996,17,0.98
ge15,18-29,turnout,0.017559709351072428,576,0.98
ge15,18-29,BN,0.027756673475301807,576,0.98
ge15,18-29,PH,0.03007896267734561,576,0.98
ge15,18-29,PN,0.014802013908752049,576,0.98
ge15,18-29,BN_v,0.04355878082173545,576,0.98
ge15,18-29,PH_v,0.030523914224456883,576,0.98
ge15,18-29,PN_v,0.012409430692052859,576,0.98
ge15,30-39,turnout,0.003366508180275729,167,0.98
ge15,30-39,BN,0.0007082905887345614,167,0.98
ge15,30-39,PH,0.002264898331013232,167,0.98
ge15,30-39,PN,0.0,167,0.98
ge15,30-39,BN_v,0.0,167,0.98
ge15,30-39,PH_v,0.0007519353515879623,167,0.98
ge15,30-39,PN_v,0.0005979802718970584,167,0.98
ge15,40-49,turnout,0.014586881009252761,119,0.98
ge15,40-49,BN,0.005511203919065399,119,0.98
ge15,40-49,PH,0.019430564485015067,119,0.98
