dim,group,estimand,model,estimate,se,ci_lo,ci_hi,lo,hi,violates,excess
ethnicity,Indian,PH,M1_lpm,0.08139628128872999,0.05615705211923937,-0.06106825931099871,0.17417230093213604,8.620968350269944e-05,0.7210308522904836,False,0.0
ethnicity,Indian,PH,M2_logit,0.1176005189017669,0.04011781334653864,0.02753854721559863,0.1938239729983241,8.620968350269944e-05,0.7210308522904836,False,0.0
ethnicity,Indian,PH,M3_probit,0.11760405456759643,,,,8.620968350269944e-05,0.7210308522904836,False,0.0
ethnicity,Indian,PH,M2ml_logit_noprior,0.11760371914163356,,,,8.620968350269944e-05,0.7210308522904836,False,0.0
ethnicity,Indian,PH,M4_context,0.11007556291195485,,,,8.620968350269944e-05,0.7210308522904836,False,0.0
ethnicity,Indian,PH,M5_within_seat,0.13038639598526222,0.018221606083405978,0.08960651976820307,0.16163423114735598,8.620968350269944e-05,0.7210308522904836,False,0.0
ethnicity,Other,PH,M1_lpm,0.012736021194851614,0.04487073229022447,-0.09059841705468641,0.08179784894411941,0.0011397720455908,0.6843581283743251,False,0.0
ethnicity,Other,PH,M2_logit,0.027730543810466,0.014981248487570757,0.0009368111891390578,0.06138157204920468,0.0011397720455908,0.6843581283743251,False,0.0
ethnicity,Other,PH,M3_probit,0.027649834388968286,,,,0.0011397720455908,0.6843581283743251,False,0.0
ethnicity,Other,PH,M2ml_logit_noprior,0.027625981260687535,,,,0.0011397720455908,0.6843581283743251,False,0.0
ethnicity,Other,PH,M4_context,0.00539751490397789,,,,0.0011397720455908,0.6843581283743251,False,0.0
ethnicity,Other,PH,M5_within_seat,0.016754664640363653,0.0054994044352189185,0.008001447533506392,0.028686135176642275,0.0011397720455908,0.6843581283743251,False,0.0
ethnicity,Malay,PN,M1_lpm,0.21831271643588984,0.007132058566679682,0.20557197016718287,0.2334158763785169,0.073990551006067,0.2349152098675517,False,0.0
ethnicity,Malay,PN,M2_logit,0.21755053538131464,0.006823201505916798,0.2054845312005439,0.2315835295075925,0.073990551006067,0.2349152098675517,False,0.0
ethnicity,Malay,PN,M3_probit,0.21755537930032953,,,,0.073990551006067,0.2349152098675517,False,0.0
ethnicity,Malay,PN,M2ml_logit_noprior,0.2175568205518599,,,,0.073990551006067,0.2349152098675517,False,0.0
ethnicity,Malay,PN,M4_context,0.17055692686359503,,,,0.073990551006067,0.2349152098675517,False,0.0
ethnicity,Malay,PN,M5_within_seat,0.21083084236342617,0.006685381995110609,0.19913206364269678,0.22476883057507496,0.073990551006067,0.2349152098675517,False,0.0
ethnicity,Chinese,PN,M1_lpm,0.009852194600615106,0.0037990312733384404,0.003369280522364572,0.01821455092748538,9.42400482509047e-05,0.1933763905642675,False,0.0
ethnicity,Chinese,PN,M2_logit,0.010428730651036446,0.0020506764782751525,0.00684411991022815,0.015287730729646159,9.42400482509047e-05,0.1933763905642675,False,0.0
ethnicity,Chinese,PN,M3_probit,0.010428203397891574,,,,9.42400482509047e-05,0.1933763905642675,False,0.0
ethnicity,Chinese,PN,M2ml_logit_noprior,0.010428311430430623,,,,9.42400482509047e-05,0.1933763905642675,False,0.0
ethnicity,Chinese,PN,M4_context,0.04314384124372512,,,,9.42400482509047e-05,0.1933763905642675,False,0.0
ethnicity,Chinese,PN,M5_within_seat,0.01328899083084019,0.0017407422385042406,0.010160045341973697,0.01690984450857432,9.42400482509047e-05,0.1933763905642675,False,0.0
ethnicity,Indian,PN,M1_lpm,0.0145663436614785,0.020033067372080313,-0.023277145738867855,0.05106086787328053,2.155242087567486e-05,0.5851158981432589,False,0.0
ethnicity,Indian,PN,M2_logit,0.022331358689122595,0.013120385499761314,0.0009008808797297457,0.04783758374755333,2.155242087567486e-05,0.5851158981432589,False,0.0
ethnicity,Indian,PN,M3_probit,0.022285981036829782,,,,2.155242087567486e-05,0.5851158981432589,False,0.0
ethnicity,Indian,PN,M2ml_logit_noprior,0.022273162314951255,,,,2.155242087567486e-05,0.5851158981432589,False,0.0
ethnicity,Indian,PN,M4_context,0.06792934666160638,,,,2.155242087567486e-05,0.5851158981432589,False,0.0
ethnicity,Indian,PN,M5_within_seat,0.04802360847338892,0.008235574142531853,0.031826153449368164,0.06441733326672021,2.155242087567486e-05,0.5851158981432589,False,0.0
ethnicity,Other,PN,M1_lpm,0.16980262527439616,0.03798901784104203,0.08864349149134695,0.22867174356065428,0.0041691661667666,0.8891571685662868,False,0.0
ethnicity,Other,PN,M2_logit,0.15751313749646934,0.035584955976960146,0.08100600564875272,0.21684105113273497,0.0041691661667666,0.8891571685662868,False,0.0
ethnicity,Other,PN,M3_probit,0.15751942982309824,,,,0.0041691661667666,0.8891571685662868,False,0.0
ethnicity,Other,PN,M2ml_logit_noprior,0.15751554616873756,,,,0.0041691661667666,0.8891571685662868,False,0.0
ethnicity,Other,PN,M4_context,0.2595991560918928,,,,0.0041691661667666,0.8891571685662868,False,0.0
